id,name_ko,name_en,lat,lon
iyang,이양,Iyang,34.891563,126.9901427
jangdong,장동,Jangdong,34.7532446,126.9952248
janghang,장항,Janghang,36.0398061,126.7154304
jangheung,장흥,Jangheung,37.7187109,126.9415564
jangsa,장사,Jangsa,36.2841109,129.369061
jangseong,장성,Jangseong,35.2999888,126.7796571
jecheon,제천,Jecheon,37.1273908,128.2056931
jeomchon,점촌,Jeomchon,36.5955088,128.2036511
jeongdongjin,정동진,Jeongdongjin,37.691717,129.0326543
jeongeup,정읍,Jeongeup,35.5757603,126.8419588
jeonju,전주,Jeonju,35.8500656,127.1622562
jeonnam_jangheung,전남장흥,Jeonnam Jangheung,34.6690323,126.9109174
jeonui,전의,Jeonui,36.6782725,127.2028936
jeungpyeong,증평,Jeungpyeong,36.7779474,127.5837895
jillye,진례,Jillye,35.2666241,128.7627622
jinbu_odaesan,진부 (오대산),Jinbu (Odaesan),37.6425955,128.5748368
jinju,진주,Jinju,35.1501017,128.1182088
jinsang,진상,Jinsang,35.0148218,127.7196216
jinyeong,진영,Jinyeong,35.2987129,128.7735151
jipyeong,지평,Jipyeong,37.4766456,127.6293461
jitan,지탄,Jitan,36.2417497,127.6760254
jochiwon,조치원,Jochiwon,36.6010339,127.295876
joseong,조성,Joseong,34.8065982,127.2481063
judeok,주덕,Judeok,36.9730763,127.8024754
jukbyeon,죽변,Jukbyeon,37.0493466,129.4039792
jungri,중리,Jung-ri,35.2498384,128.5190385
maegok,매곡,Maegok,37.4365575,127.7302567
maehwa,매화,Maehwa,36.8827346,129.4097094
manjong,만종,Manjong,37.3539225,127.8930823
masan,마산,Masan,35.2364351,128.5767705
mindungsan,민둥산,Mindungsan,37.2438401,128.7732808
miryang,밀양,Miryang,35.4747106,128.7716727
mokpo,목포,Mokpo,34.7913104,126.3873227
mongtan,몽탄,Mongtan,34.9298707,126.5037818
muan,무안,Muan,34.9625895,126.5174064
mukho,묵호,Mukho,37.5462744,129.1082133
mulgeum,물금,Mulgeum,35.3066075,128.9854221
mungyeong,문경,Mungyeong,36.7203384,128.1101193
myeongbong,명봉,Myeongbong,34.8278753,127.075807
naju,나주,Naju,35.0139184,126.7174587
namchang,남창,Namchang,35.4190558,129.2825858
namseonghyeon,남성현,Namseonghyeon,35.7048027,128.71613
namwon,남원,Namwon,35.4114118,127.3608202
neungju,능주,Neungju,34.9865599,126.9643014
nonsan,논산,Nonsan,36.2067628,127.092582
ogeunjang,오근장,Ogeunjang,36.7003474,127.4782518
okcheon,옥천,Okcheon,36.2980066,127.5652603
oksan,옥산,Oksan,36.2827918,128.0945283
okwon,옥원,Okwon,37.1841642,129.3237921
onyang_oncheon,온양온천,Onyang Oncheon,36.7806189,127.0028808
osan,오산,Osan,37.145637,127.0667493
osong,오송,Osong,36.6198946,127.3277314
osu,오수,Osu,35.5427359,127.3202965
pangyo,판교,Pangyo,36.1559291,126.6796595
pangyo_gyeonggi,판교 (경기),Pangyo (Gyeonggi),37.3947305,127.1111519
pohang,포항,Pohang,36.0713198,129.3426788
punggi,풍기,Punggi,36.8742932,128.5234553
pyeongchang,평창,Pyeongchang,37.5620019,128.4295864
pyeonghae,평해,Pyeonghae,36.7256023,129.4459842
pyeongtaek,평택,Pyeongtaek,36.991012,127.0851148
pyeongtaek_jije,평택지제,Pyeongtaek Jije,37.0188058,127.0701207
sabuk,사북,Sabuk,37.2259877,128.8171166
salmi,살미,Salmi,36.9022065,127.9602635
samcheok,삼척,Samcheok,37.429941,129.1784572
